Date,Temp,VolWaterAdded,Notes
2016-02-17 13:20,22,15,leaves still brown and sediments oxygenated
2016-02-17 14:03,22,NA,murky water and some black spotting
2016-02-18 09:30,20,NA,NA
2016-02-18 10:48,21,NA,leaves in bottle #5 have yellow dots
2016-02-19 08:10,20,NA,NA
2016-02-19 12:54,21,NA,NA
2016-02-22 08:05,21,NA,NA
2016-02-22 15:30,21,NA,NA
2016-02-23 15:12,20,NA,NA
2016-02-23 07:05,21,NA,NA
2016-02-24 14:26,21,NA,NA
2016-02-25 10:45,21,NA,NA
2016-02-25 13:35,21,NA,NA
2016-02-26 12:53,20,NA,film has developed on top of water 
2016-02-26 13:50,21,23,NA
2016-02-29 08:05,21,NA,NA
2016-03-01 13:30,20,NA,film remians on surface and bottle #9 is starting to get black
2016-03-02 13:05,20.5,NA,NA
2016-03-02 13:48,21,NA,NA
2016-03-03 12:17,21,NA,NA
2016-03-04 12:43,21,NA,NA
2016-03-15 12:20,21,NA,clear film on top of water
2016-03-16 11:35,20,NA,film looks thicker
2016-03-16 15:42,21,NA,NA
2016-03-17 15:03,20,NA,NA
2016-03-18 13:08,20,NA,NA
2016-03-21 09:47,19,NA,NA
2016-03-21 14:32,20,NA,leaves on bottom are getting darker
2016-03-22 15:13,20,NA,NA
2016-03-23 08:10,21,NA,NA
2016-03-23 13:11,21,NA,NA
2016-03-24 15:19,21,NA,NA
2016-03-25 12:58,21,30,NA
2016-03-27 16:10,20,NA,stirred surface to break up film
2016-03-28 08:25,20,NA,NA
2016-03-29 08:00,19,NA,NA
2016-03-29 15:13,21,NA,NA
2016-03-30 12:59,20,NA,NA
2016-03-31 15:19,20,NA,NA
2016-04-04 14:27,21,17,NA
2016-04-05 15:07,20,NA,NA
2016-04-06 12:56,20,NA,NA
2016-04-07 10:05,20,NA,NA
2016-04-07 15:17,20,NA,stirred surface to break up film
2016-04-08 14:20,20,NA,NA
2016-04-09 11:16,19,NA,NA
2016-04-12 13:38,21,23,NA
2016-04-13 12:54,20,NA,NA
2016-04-14 15:05,20,NA,NA
2016-04-15 13:00,20,NA,stirred surface to break up film
2016-04-18 13:25,20,NA,NA
2016-04-19 11:20,20,NA,NA
2016-04-19 13:48,20,NA,NA
2016-04-21 15:14,21,23,NA
2016-04-22 13:40,21,NA,NA
2016-04-25 13:36,21,NA,NA
2016-04-27 13:46,21,NA,NA
2016-04-28 15:25,21,NA,NA
2016-04-29 13:37,21,NA,NA
2016-05-02 13:25,20,NA,NA
2016-05-04 18:08,21,NA,NA
2016-05-06 08:52,19,15,NA
2016-05-09 08:45,20,NA,NA
2016-05-10 08:30,21,NA,NA
2016-05-14 13:45,20,NA,NA
2016-05-18 13:45,20,NA,NA
2016-05-31 09:51,21,30,NA
2016-06-01 08:57,21,NA,NA
2016-06-02 09:03,19,NA,NA
2016-06-03 13:00,20,NA,NA
2016-06-06 08:56,20,NA,NA
2016-06-07 08:58,19,NA,NA
2016-06-08 12:33,20,NA,NA
2016-06-09 12:56,20,NA,NA
2016-06-10 10:47,20,9,NA
2016-06-13 09:04,20,NA,NA
2016-06-14 08:05,21,NA,NA
2016-06-15 09:04,23,NA,NA
2016-06-20 10:49,20,NA,NA